Mole_Fraction,-H0
0.015498559,-1.18138
0.025767969,-0.9257
0.041117407,-0.69575
0.082016105,-0.2361
0.130549756,0.14656
0.179063525,0.45244
0.268446168,1.1156
0.324654538,1.60044
0.380862909,2.11088
0.406432051,2.44295
0.426911224,2.77515
0.460234616,3.49093
0.473058952,3.82333
0.485883289,4.13013
0.511531961,4.71814
0.526931106,5.12725
0.549965205,5.51057
0.57555423,5.89383
0.606223283,6.20017
0.641992246,6.53197
0.682851178,6.81246
0.723700169,7.06735
0.767123969,7.39896
0.815627796,7.70484
0.869251417,8.06178
0.917775127,8.41885
0.953593797,8.92982
0.979242469,9.54342
0.989541704,9.97826
0.994770852,10.46442
1,11.00176
