# Data from figure 1 of...
# ``Concerted general acid and nucleophilic catalysis of acetalhydrolysis. 
# A simple model for the lysozyme mechanism''. 
# K.E.S. Deana, A.J. Kirby, 
# J. Chem. Soc., Perkin Trans. 2, 2002, 428-432. 
# https://doi.org/10.1039/B110948K
# 
# This data set used to create absorbance kinetic runs for fake experimental data
#
# rates reported  in units of log(k/ s^-1)
# log(k) values with two decimals of precision have been interpolated
#
pH,           k_1,            k_2
0.00,          -2.94733,       -3.19
0.28,       -3.28922,       -3.54
0.55,       -3.63732,       -3.88375
1.00,        -3.87159,       -4.21124
1.25,       -4.15755,       -4.47649
1.50,        -4.1660,        -4.79559
1.90,        -4.16829,       -5.09404
2.25,       -4.07323,       -5.27
2.60,        -3.89117,       -5.33259
3.40,        -3.47537,       -5.41382
3.70,        -3.25397,       -5.43888
4.10,        -3.1030,         -5.46189
4.40,        -3.08245,       -5.39163
4.75,       -3.17588,       -5.21998
5.10,        -3.40598,       -5.22434
5.60,        -3.75832,       -4.9450
6.00,        -4.07337,       -4.54764
6.50,        -4.61007,       -4.13581
6.90,        -5.02037,       -3.76534
