time,Abs
     0.000,     0.100
     0.250,     0.115
     0.500,     0.130
     0.750,     0.146
     1.000,     0.158
     1.250,     0.171
     1.500,     0.183
     1.750,     0.196
     2.000,     0.207
     2.250,     0.217
     2.500,     0.227
     2.750,     0.239
     3.000,     0.247
     3.250,     0.256
     3.500,     0.265
     3.750,     0.272
     4.000,     0.282
     4.250,     0.287
     4.500,     0.296
     4.750,     0.306
     5.000,     0.311
     5.250,     0.318
     5.500,     0.325
     5.750,     0.329
     6.000,     0.336
     6.250,     0.340
     6.500,     0.348
     6.750,     0.352
     7.000,     0.357
     7.250,     0.362
     7.500,     0.365
     7.750,     0.372
     8.000,     0.376
     8.250,     0.379
     8.500,     0.385
     8.750,     0.388
     9.000,     0.393
     9.250,     0.397
     9.500,     0.400
     9.750,     0.406
    10.000,     0.407
    10.250,     0.412
    10.500,     0.415
    10.750,     0.416
    11.000,     0.421
    11.250,     0.426
    11.500,     0.427
    11.750,     0.430
    12.000,     0.432
    12.250,     0.436
    12.500,     0.437
    12.750,     0.442
    13.000,     0.444
    13.250,     0.446
    13.500,     0.449
