pH,k1 value,k1 stdev,k2 value,k2 stdev
0.0,-2.945198019546861,0.004828972039135899,-3.192646166691832,0.006738545642721378
0.28,-3.2913368212661993,0.002041419022606939,-3.5373438947444296,0.0028808362987074883
0.55,-3.638590952307648,0.001855322250663806,-3.8813297484349785,0.002635354111753864
1.0,-3.872444516712977,0.0014023838560778855,-4.21056340748668,0.001809420134567988
1.25,-4.16006135316524,0.0013299663653587423,-4.473297525008416,0.002456506737774519
1.5,-4.164214312201264,0.0010365841543581568,-4.799513949287092,0.002180390840135973
1.9,-4.168463480444142,0.0011952682588176682,-5.096201253659553,0.0036032637830659383
2.25,-4.073438669140942,0.0010183893400878272,-5.265867760669093,0.0033439859420691257
2.6,-3.8905668964963382,0.0014174183800184181,-5.330173801228482,0.0036790505380303895
3.4,-3.4705900533302905,0.002293997247622716,-5.412909459196854,0.0035742456574048434
3.7,-3.253019472281467,0.0025254213030400673,-5.4391902176256055,0.0030842300841776673
4.1,-3.1048545905747487,0.002954480959361027,-5.468682620958882,0.003150328939477329
4.4,-3.0812768576760727,0.00324963030278141,-5.388532620379328,0.002866835369264099
4.75,-3.176531532890829,0.00272530509921142,-5.21928098971658,0.001988765308181561
5.1,-3.4069938331930003,0.00196463103084049,-5.222117173090061,0.0019656317567932234
5.6,-3.7575762906180294,0.0013881918361847664,-4.944186634712712,0.001563674309314761
6.0,-4.073624488787488,0.0011721370854473627,-4.546724981407321,0.0018342044983693775
6.5,-4.609072668902353,0.0064342975641172905,-4.139595165705322,0.027358864408255332
6.9,-5.0197,0.0028,-3.772,0.027
