pH,log_k1 value,log_k1 stdev,log_k2 value,log_k2 stdev
0.0,-2.9730163604084945,0.021572488571035883,-3.185166766015819,0.010176922120880503
0.28,-3.284715948789468,0.013465873715634893,-3.5419010561025623,0.005925828759296252
0.55,-3.6404965539500918,0.008429230112651913,-3.883857485087889,0.0038044329000003945
1.0,-3.874534138588298,0.0060468877363860545,-4.208744659164508,0.0024159673682546943
1.25,-4.15689183500998,0.004993487461630197,-4.476694946837752,0.0020479500807502565
1.5,-4.163959707728644,0.0037122647377043445,-4.7967261310599225,0.0012644408709040697
1.9,-4.175369568334997,0.0034954203370730964,-5.092142541461059,0.001842440115463516
2.25,-4.073207893609684,0.003012975299223891,-5.267959712662087,0.0021250076816491043
2.6,-3.891668806426546,0.003446959291204454,-5.331617410377628,0.002226842595715393
3.4,-3.4746441828357124,0.005523532844129853,-5.41176670317454,0.0024894221903106937
3.7,-3.247574244016815,0.007037366353720142,-5.438505856632528,0.0025286083220787815
4.1,-3.1180862116363315,0.007705260857085182,-5.458297679719049,0.0024545188678236113
4.4,-3.06758079131053,0.007852391288154757,-5.390508048908361,0.002047637028358944
4.75,-3.1845802652349864,0.0063741441217708035,-5.221187833058809,0.001393473909070161
5.1,-3.410488594036181,0.005921710809596405,-5.224246628763379,0.001714304484293977
5.6,-3.761259467385686,0.004581379601576188,-4.945378090361565,0.001309243687881479
6.0,-4.076569452834068,0.005609400105658426,-4.54607368048638,0.0020111015548686154
6.5,-4.610056917493201,0.00583446213528516,-4.134153229349999,0.005756950908117828
6.9,-5.0175,0.0024,-3.783,0.023
