### Data for unsubstituted reactant from table S2 of the supplementary material for
###
### "The First Kinetic Evidence for Acid Catalysis in a Monocyclic Rearrangement of Heterocycles:  Conversion of the 
### Z-Phenylhydrazone of 5-Amino-3-benzoyl-1,2,4-oxadiazole into N,5-Diphenyl-2H-1,2,3-triazol-4-ylurea." 
### B. Cosimelli, V. Frenna, S. Guernelli, C.Z. Lanza, G. Macaluso, G. Petrillo, D. Spinelli, 
### J. Org. Chem., 2002, 67, 8010-8018. https://doi.org/10.1021/jo026039z
###
### pS+ is the reported value for pS+
### "k(A,R)x10^5" is the measured rates at 293.15K X 9.13.  The factor of 9.13 adjusts the rates for 313K. 
### See "23-1b_calculator.ipynb" for discussion
### BUFFER is the buffer used in each set of experiments
###
pS+,BUFFER,"k(A,R)x10^5"
0.10,HCl,92.17
0.18,HCl,86.14
0.25,HCl,81.31
0.29,HCl,77.66
0.33,HCl,74.55
0.40,HCl,68.44
0.49,HCl,60.68
0.58,HCl,52.84
0.71,HCl,44.26
0.80,HCl,38.60
0.89,HCl,33.22
1.11,HCl,21.26
1.21,Citrate,17.79
1.80,Citrate,5.09
2.30,Citrate,1.86
2.80,Citrate,0.79
3.60,Citrate,0.55
4.35,Citrate,0.55
6.20,Citrate,0.55
6.95,Citrate,0.63
7.48,Citrate,0.65
8.50,Citrate,1.20
9.16,Borate,2.25
9.60,Borate,6.00
9.88,Borate,11.41
10.19,Borate,19.35
10.45,Borate,36.96
10.79,Borate,68.71
11.10,Borate,144.18
11.45,Borate,298.40
11.70,Borate,504.64
11.81,Borate,616.88
11.97,Borate,865.09
12.10,Borate,1168.05
