pS+,"k(A,R)x10^5",BUFFER
0.10,92.17,HCl
0.18,86.14,HCl
0.25,81.31,HCl
0.29,77.66,HCl
0.33,74.55,HCl
0.40,68.44,HCl
0.49,60.68,HCl
0.58,52.84,HCl
0.71,44.26,HCl
0.80,38.60,HCl
0.89,33.22,HCl
1.11,21.26,HCl
1.21,17.79,Citrate
1.80,5.09,Citrate
2.30,1.86,Citrate
2.80,0.79,Citrate
3.60,0.55,Citrate
4.35,0.55,Citrate
6.20,0.55,Citrate
6.95,0.63,Citrate
7.48,0.65,Citrate
8.50,1.20,Citrate
9.16,2.25,Borate
9.60,6.00,Borate
9.88,11.41,Borate
10.19,19.35,Borate
10.45,36.96,Borate
10.79,68.71,Borate
11.10,144.18,Borate
11.45,298.40,Borate
11.70,504.64,Borate
11.81,616.88,Borate
11.97,865.09,Borate
12.10,1168.05,Borate
