pS+,"k(A,R)x10^5",BUFFER
0.10,18.47,HCl
0.18,17.26,HCl
0.25,16.29,HCl
0.29,15.56,HCl
0.33,14.94,HCl
0.40,13.71,HCl
0.49,12.16,HCl
0.58,10.59,HCl
0.71,8.87,HCl
0.80,7.73,HCl
0.89,6.65,HCl
1.11,4.26,HCl
1.21,3.57,Citrate
1.80,1.02,Citrate
2.30,0.37,Citrate
2.80,0.16,Citrate
3.60,0.11,Citrate
4.35,0.11,Citrate
6.20,0.11,Citrate
6.95,0.13,Citrate
7.48,0.13,Citrate
8.50,0.24,Citrate
9.16,0.45,Borate
9.60,1.20,Borate
9.88,2.29,Borate
10.19,3.88,Borate
10.45,7.40,Borate
10.79,13.77,Borate
11.10,28.89,Borate
11.45,59.78,Borate
11.70,101.10,Borate
11.81,123.59,Borate
11.97,173.32,Borate
12.10,234.01,Borate
