### Data from table 1 of 
###
### "The Thermodynamic Properties of Aqueous Sulfuric Acid Solutions and Hydrates from 15 to 300 K."
### W. F. Giauque, E. W. Hornung, J. E. Kunzler, and T. R. Rubin
### Journal of the American Chemical Society 1960 82 (1), 62-70
### DOI: 10.1021/ja01486a014
### 
### Activity coefficient of water in sulfuric acid
###
### Temp = 25.0 deg C
### Concentrations in molal H2SO4 (mole H2SO4 per kg of solvent)
###
### Correction: a_H2O for c=1000 is reported as 1.50E-7. It clearly should be 1.50E-6
###
"conc H2SO4 / m", "a_H2O"
   1,              9.622E-1
   2,              9.130E-1
   3,              8.514E-1
   4,              7.800E-1
   5,              7.035E-1
   6,              6.257E-1
   7,              5.503E-1
   8,              4.806E-1
   9,              4.175E-1
  10,              3.611E-1
  11,              3.113E-1
  12,              2.678E-1
  13,              2.303E-1
  14,              1.980E-1
  15,              1.701E-1
  16,              1.462E-1
  17,              1.255E-1
  18,              1.077E-1
  19,              9.233E-2
  20,              7.929E-2
  25,              3.799E-2
  30,              1.937E-2
  35,              1.042E-2
  40,              5.90E-3
  45,              3.53E-3
  50,              2.23E-3
  60,              1.05E-3
  70,              5.80E-4
  80,              3.61E-4
  90,              2.47E-4
 100,              1.79E-4
 200,              3.20E-5
 300,              1.38E-5
 400,              7.87E-6
 500,              5.20E-6
1000,              1.50E-7
