### Data from https://wissen.science-and-fun.de/chemistry/chemistry/density-tables/density-of-sulfuric-acid-and-sulfur-trioxide/ 
###
### %wt H2SO4 solution and their densities and molar concentrations
###
### Note: Found on internet. I hope its correct.
###
### Temp = 20.0 deg C
###
"% (H2SO4)",     "Density ρ at 20°C (g/cm³)",     "g (H2SO4 )/l",     "mol (H2SO4)/l"
1,                  1.0051,                        10.05,              0.103
2,                  1.0118,                        20.24,              0.206
3,                  1.0184,                        30.55,              0.312
4,                  1.0250,                        41.00,              0.418
5,                  1.0317,                        51.59,              0.526
6,                  1.0385,                        62.31,              0.635
7,                  1.0453,                        73.17,              0.746
8,                  1.0522,                        84.18,              0.858
9,                  1.0591,                        95.32,              0.972
10,                 1.0661,                        106.6,              1.087
11,                 1.0731,                        118.0,              1.203
12,                 1.0802,                        129.6,              1.321
13,                 1.0874,                        141.4,              1.442
14,                 1.0947,                        153.3,              1.563
15,                 1.102,                         165.3,              1.685
16,                 1.1094,                        177.5,              1.810
17,                 1.1168,                        189.9,              1.936
18,                 1.1234,                        202.4,              2.063
19,                 1.1318,                        215.0,              2.192
20,                 1.1394,                        227.9,              2.324
21,                 1.1471,                        240.9,              2.456
22,                 1.1548,                        254.1,              2.591
23,                 1.1626,                        267.4,              2.726
24,                 1.1704,                        280.9,              2.864
25,                 1.1783,                        294.6,              3.004
26,                 1.1862,                        308.4,              3.144
27,                 1.1942,                        322.4,              3.287
28,                 1.2023,                        336.6,              3.432
29,                 1.2104,                        351.0,              3.579
30,                 1.2185,                        365.6,              3.728
31,                 1.2267,                        380.3,              3.878
32,                 1.2349,                        395.2,              4.029
33,                 1.2432,                        410.3,              4.183
34,                 1.2515,                        425.5,              4.338
35,                 1.2599,                        441.0,              4.496
36,                 1.2684,                        456.6,              4.656
37,                 1.2769,                        472.5,              4.818
38,                 1.2855,                        488.5,              4.981
39,                 1.2941,                        504.7,              5.146
40,                 1.3028,                        521.1,              5.313
41,                 1.3116,                        537.8,              5.483
42,                 1.3205,                        554.6,              5.655
43,                 1.3294,                        571.6,              5.828
44,                 1.3384,                        588.9,              6.004
45,                 1.3476,                        606.4,              6.183
46,                 1.3569,                        624.2,              6.364
47,                 1.3663,                        642.2,              6.548
48,                 1.3758,                        660.4,              6.734
49,                 1.3854,                        678.8,              6.921
50,                 1.3951,                        697.6,              7.113
51,                 1.4049,                        716.5,              7.306
52,                 1.4148,                        735.7,              7.501
53,                 1.4248,                        755.1,              7.699
54,                 1.4350,                        774.9,              7.901
55,                 1.4453,                        794.9,              8.105
56,                 1.4557,                        815.2,              8.312
57,                 1.4662,                        835.7,              8.521
58,                 1.4768,                        856.5,              8.733
59,                 1.4875,                        877.6,              8.948
60,                 1.4983,                        899.0,              9.166
61,                 1.5091,                        920.6,              9.386
62,                 1.5200,                        942.4,              9.609
63,                 1.5310,                        964.5,              9.834
64,                 1.5421,                        986.9,              10.06
65,                 1.5533,                        1010,               10.30
66,                 1.5646,                        1033,               10.53
67,                 1.5760,                        1056,               10.77
68,                 1.5874,                        1079,               11.00
69,                 1.5989,                        1103,               11.25
70,                 1.6105,                        1127,               11.49
71,                 1.6221,                        1152,               11.75
72,                 1.6338,                        1176,               11.99
73,                 1.6456,                        1201,               12.25
74,                 1.6574,                        1226,               12.50
75,                 1.6692,                        1252,               12.77
76,                 1.6810,                        1278,               13.03
77,                 1.6927,                        1303,               13.29
78,                 1.7043,                        1329,               13.55
79,                 1.7158,                        1355,               13.82
80,                 1.727,                         1382,               14.09
81,                 1.7383,                        1408,               14.36
82,                 1.7491,                        1434,               14.62
83,                 1.7594,                        1460,               14.89
84,                 1.7693,                        1486,               15.15
85,                 1.7786,                        1512,               15.42
86,                 1.7872,                        1537,               15.67
87,                 1.7951,                        1562,               15.93
88,                 1.8022,                        1586,               16.17
89,                 1.8087,                        1610,               16.42
90,                 1.8144,                        1633,               16.65
91,                 1.8195,                        1656,               16.88
92,                 1.8240,                        1678,               17.11
93,                 1.8279,                        1700,               17.33
94,                 1.8312,                        1721,               17.55
95,                 1.8337,                        1742,               17.76
96,                 1.8355,                        1762,               17.97
97,                 1.8364,                        1781,               18.16
98,                 1.8361,                        1799,               18.34
99,                 1.8342,                        1816,               18.52
100,                1.8305,                        1831,               18.67
