### Data from table 2 of 
###
### "Two mechanisms for the acid-catalyzed hydrolysis of enol acetates.""
### Donald S. Noyce and Ralph M. Pollack
### Journal of the American Chemical Society 1969 91 (1), 119-124
### https://doi.org/10.1021/ja01029a025
### 
### rates of hydrolysis of substituted .alpha.-acetoxystyrenes
### in various sulfuric acid mixtures
###
### Temp = 25.0 deg C
### "Compound" is the number given by the authors for each substituted acetoxystyrene.
###
"Compound",  "Substituent", "PercentH2SO4",  "H0",         "k (/ 10-3 s-1)"       
1,            p-OCH3,          5.71,          0.02,          0.333
1,            p-OCH3,         12.19,         -0.53,          1.28
1,            p-OCH3,         15.91,         -0.79,          2.47
1,            p-OCH3,         20.24,         -1.08,          4.71
1,            p-OCH3,         23.73,         -1.32,          8.89
1,            p-OCH3,         29.67,         -1.76,         26.8
2,            p-CH3,           5.64,          0.03,          0.0667
2,            p-CH3,          12.23,         -0.53,          0.229
2,            p-CH3,          15.98,         -0.79,          0.401
2,            p-CH3,          20.22,         -1.08,          0.780
2,            p-CH3,          23.79,         -1.33,          1.36
2,            p-CH3,          29.42,         -1.74,          3.44
2,            p-CH3,          36.40,         -2.26,         13.5
2,            p-CH3,          40.37,         -2.56,         26.9
3,            H,               5.67,          0.03,          0.0344
3,            H,              12.18,         -0.53,          0.104
3,            H,              20.14,         -1.07,          0.260
3,            H,              29.61,         -1.75,          0.953
3,            H,              36.30,         -2.25,          2.95
3,            H,              40.29,         -2.55,          6.24
3,            H,              45.45,         -2.95,         19.0
4,            p-Cl,            5.67,          0.03,          0.0303
4,            p-Cl,           12.14,         -0.53,          0.0810
4,            p-Cl,           20.13,         -1.07,          0.206
4,            p-Cl,           29.30,         -1.73,          0.631
4,            p-Cl,           36.45,         -2.26,          1.85
4,            p-Cl,           40.12,         -2.54,          3.85
4,            p-Cl,           45.54,         -2.96,         11.5
5,            m-Cl,            5.66,          0.03,          0.0247
5,            m-Cl,           12.34,         -0.53,          0.0638
5,            m-Cl,           19.99,         -1.06,          0.140
5,            m-Cl,           29.18,         -1.72,          0.344
5,            m-Cl,           36.17,         -2.24,          0.801
5,            m-Cl,           40.14,         -2.54,          1.44
5,            m-Cl,           45.66,         -2.97,          4.07
5,            m-Cl,           51.61,         -3.51,         13.4
5,            m-Cl,           55.65,         -3.94,         33.6
6,            p-NO2,           5.70,          0.02,          0.0259
6,            p-NO2,          12.08,         -0.52,          0.0630
6,            p-NO2,          20.07,         -1.07,          0.129
6,            p-NO2,          29.14,         -1.72,          0.261
6,            p-NO2,          36.03,         -2.23,          0.439
6,            p-NO2,          40.06,         -2.54,          0.570
6,            p-NO2,          45.55,         -2.96,          0.903
6,            p-NO2,          46.43,         -3.03,          0.997
6,            p-NO2,          51.49,         -3.50,          1.64
6,            p-NO2,          55.47,         -3.92,          2.77
6,            p-NO2,          61.11,         -4.61,          8.04
6,            p-NO2,          66.35,         -5.30,         24.4
6,            p-NO2,          68.80,         -5.64,         45.2
